id,exercise_id,language_code,name,description
2307ea03-7cfa-4f93-8b09-6de61f18dc15,7a299ea5-c2cc-4999-bee8-adfcc1f6bae4,ro,Genuflexiuni Bulgărești,Un exercițiu unilateral care vizează cvadricepsul și fesele cu un picior ridicat în spate.
6420bb1d-6c28-4126-9d5f-2eec0367def3,7d25ebf5-2800-46b5-b628-9f0d19f973d7,en,Overhead Tricep Extension,A triceps exercise performed overhead to target the long head of the triceps muscle.
c2fe60d4-8737-46a4-ba8c-774dc71b6c15,7d25ebf5-2800-46b5-b628-9f0d19f973d7,ro,Extensii Triceps Deasupra Capului,Un exercițiu pentru triceps executat deasupra capului pentru a viza capul lung al mușchiului triceps.
b4a6ccfb-b156-4782-8e3e-d65f72470512,7dc0ef00-cdf2-491c-a58b-4745620492d0,en,Barbell Deadlift,A compound exercise involving lifting a barbell from the ground to hip level
81468707-7aad-4641-90bd-96f0dce2e69f,7dc0ef00-cdf2-491c-a58b-4745620492d0,ro,Deadlift cu Halteră,Un exercițiu compus fundamental care vizează lanțul posterior, implicând ridicarea unei halterele încărcate de la sol la nivelul șoldurilor menținând forma corectă.
ec11d2b6-59dc-49b3-b9bf-f64d3d52d2ab,879d3da9-0dd0-4db0-b90c-8b8711f70c0f,en,Overhead Press,A fundamental compound movement pressing a barbell overhead to develop shoulder and core strength.
4729424e-d244-42c8-81d9-7a6f6ef41070,879d3da9-0dd0-4db0-b90c-8b8711f70c0f,ro,Împins Deasupra Capului,O mișcare compusă fundamentală care împinge haltera deasupra capului pentru a dezvolta forța umerilor și abdomenului.
c3910cab-3c6f-4421-ab0a-085e4bace46e,88115f47-652e-4d2e-b4eb-2aff52eee392,en,Dumbbell Rear Delt Fly,"Isolation exercise targeting the posterior deltoids and upper back. Performed by bending forward and raising dumbbells to the sides with arms extended."
c96c4d1a-a871-4291-a64f-b0cb18e8d468,88115f47-652e-4d2e-b4eb-2aff52eee392,ro,Fluturări Deltoid Posterior cu Haltere,"Exercițiu de izolare care vizează deltoidul posterior și partea superioară a spatelui. Se execută prin încovoierea înainte și ridicarea halterelor lateral cu brațele întinse."
7617d0c4-a1b7-4522-a42c-d3877d0565bd,8a6685c2-c32a-453c-a34f-df2d52179da8,en,Leg Curl (Machine),"An isolation exercise targeting the hamstrings, performed on a leg curl machine with adjustable weight stack for controlled resistance."
00ce4aae-9d8a-404a-a6d7-282e76338ae4,8a6685c2-c32a-453c-a34f-df2d52179da8,ro,Flexii Picioare (Aparat),"Un exercițiu de izolare care vizează mușchii ischiojambieri, executat pe un aparat pentru flexii picioare cu greutăți ajustabile pentru rezistență controlată."
a624ad42-63ea-4ca6-9704-c2b2540c023a,98a03c0f-1918-43cc-9993-0614e085f7e1,en,Dips Machine,Stack loaded dips machine for triceps development
3669928f-9120-41e4-8317-8bc40f08d631,98a03c0f-1918-43cc-9993-0614e085f7e1,ro,Dips la Mașină cu Greutăți,Exercițiu pentru triceps și piept la mașină cu stack de greutăți
10ca96fc-d4c7-44cf-ac63-33fec4272218,98a85426-4d0b-453b-be7c-6fd59b36f1fb,en,Barbell Back Squat,"A compound exercise targeting the quadriceps, glutes, and core using a barbell placed on the upper back."
48e5931e-6db3-4190-b52b-6ddc82cd294c,98a85426-4d0b-453b-be7c-6fd59b36f1fb,ro,Genuflexiuni cu Haltera pe Spate,"Un exercițiu compus care vizează cvadricepsul, fesele și abdomenul folosind o halteră plasată pe partea superioară a spatelui."
78a7d2ec-65d1-4ce1-9a28-1735277bb7dc,a04e4569-89bf-4873-a406-0bba6b91ce6a,en,Back Extension,Strengthen your lower back muscles with controlled back extension movement
82073d8a-8595-4c00-a9b6-ff43ca8f1150,a04e4569-89bf-4873-a406-0bba6b91ce6a,ro,Extensie Spate,Întărește mușchii din partea inferioară a spatelui cu mișcare controlată de extensie
40be6adf-54e1-4223-a17b-bb661640ec34,a41ac6a1-6a86-4cec-85d1-477d446dc95f,en,EZ-Bar Curl,Bicep curl using an EZ-bar for comfortable wrist positioning
eb0ee57b-c8d2-41b7-9750-65c9ebecc1f4,a41ac6a1-6a86-4cec-85d1-477d446dc95f,ro,Curl cu Bara EZ,Curl pentru biceps folosind bara EZ pentru o poziție confortabilă a încheieturilor
0a95458b-3c2c-4155-b276-616cee78bf29,b0bb1fa8-83c4-4f39-a311-74f014d85bec,en,Exercise b0bb1fa8-83c4-4f39-a311-74f014d85bec,
be20c2c0-0582-44fe-b314-89fa8067c4ca,b0bb1fa8-83c4-4f39-a311-74f014d85bec,ro,Aparat Press Piept Superior,Exercițiu pentru partea superioară a pieptului folosind aparatul de presă
ce2b943d-75a2-4327-a594-d9f2b3ae8210,b68eaef3-dd6a-4daa-b6aa-ebc617338e27,en,Dumbbell Shoulder Press,A shoulder exercise using dumbbells for independent arm movement and stability.
e239d2da-a462-4a65-b4f9-9f52fb4b7a81,b68eaef3-dd6a-4daa-b6aa-ebc617338e27,ro,Împins Umeri cu Gantere,Un exercițiu pentru umeri folosind gantere pentru mișcare independentă a brațelor și stabilitate.
f2a9d938-9117-4c9f-8a82-2b8162aa379f,bd47ffdb-8d65-4a1f-9823-85b07309e809,en,Front Squat,"A squat variation with the barbell held in front across the shoulders, emphasizing quadriceps development."
44f6b814-d500-499c-82a2-a7e942a53140,bd47ffdb-8d65-4a1f-9823-85b07309e809,ro,Genuflexiuni Frontale,"O variantă de genuflexiuni cu haltera ținută în față peste umeri, punând accent pe dezvoltarea cvadricepsului."
e7c6be98-d0a4-45b7-bfaa-37ec4b5808c1,cb040445-1ed3-43cc-89e3-8216e48f4bec,en,Skull Crushers,"A triceps isolation exercise performed lying down, lowering weight toward the forehead."
589e2029-2f79-4ca1-9535-5191d70c2726,cb040445-1ed3-43cc-89e3-8216e48f4bec,ro,Spărgătoare de Cranii,"Un exercițiu de izolare pentru triceps executat culcat, coborând greutatea spre frunte."
7ecd2a46-7128-4187-bf11-5459d2049011,d3f0240b-b996-45f4-9676-a6b6d2cda498,en,Chest Front Dumbbell Raises,Front raises targeting the upper chest and anterior deltoids
c5b86fa7-3159-4293-a31e-c03b27f87d54,d3f0240b-b996-45f4-9676-a6b6d2cda498,ro,Ridicări Frontale cu Gantere pentru Piept,Exercițiu pentru partea superioară a pieptului cu gantere
6a146af9-a4c0-4cb4-9830-e44e6e24d7be,eb853261-1b42-44f8-a21a-cede153b3df7,en,Dumbbell Cuban Press,Advanced shoulder exercise that combines external rotation with overhead press. Excellent for rotator cuff strength and shoulder stability.
0e983544-7297-4b4f-8bb1-e3510d9f4484,eb853261-1b42-44f8-a21a-cede153b3df7,ro,Presă Cubană cu Haltere,Exercițiu avansat pentru umeri care combină rotația externă cu presa deasupra capului. Excelent pentru întărirea manșetei rotatorilor și stabilitatea umerilor.
